Date,Daily Mirror,The Sun,Telegraph,Daily Mail/Mail on Sunday,Daily Express,Independent,Times,Guardian,Total,Other
11/16/15,0,0,0,0,0,1,0,0,1,0
11/17/15,0,0,0,0,0,0,0,1,1,0
11/18/15,0,0,0,0,0,2,0,0,2,0
11/24/15,0,0,0,0,0,0,0,1,1,0
11/27/15,0,0,0,0,0,0,1,0,1,0
11/30/15,0,0,0,0,0,4,0,0,4,0
12/1/15,0,0,0,0,0,1,0,0,2,1
12/9/15,0,0,0,0,0,1,0,0,1,0
12/17/15,0,0,0,0,0,0,0,1,1,0
12/22/15,0,0,0,0,0,2,0,0,2,0
12/25/15,0,0,0,0,0,1,0,0,1,0
12/28/15,0,0,0,0,0,1,0,0,1,0
12/30/15,0,0,0,0,0,1,0,0,1,0
1/6/16,0,0,0,0,0,1,0,0,1,0
1/8/16,0,0,0,0,0,2,0,1,3,0
1/9/16,0,0,0,0,0,1,0,0,1,0
1/10/16,0,0,0,0,0,0,0,1,1,0
1/30/16,0,0,0,1,0,1,0,0,2,0
1/31/16,0,0,0,1,0,0,0,0,1,0
2/1/16,0,0,0,0,0,0,1,0,1,0
2/11/16,0,0,0,0,0,0,2,0,2,0
2/19/16,0,1,0,0,0,0,0,0,1,0
2/23/16,0,0,0,0,0,1,0,0,1,0
3/1/16,0,0,0,0,0,1,0,0,1,0
3/2/16,0,0,0,0,0,1,0,0,1,0
3/3/16,0,0,0,0,0,1,0,0,1,0
3/6/16,0,0,0,0,0,0,0,1,1,0
3/17/16,0,0,0,0,0,0,0,1,1,0
3/23/16,0,0,0,0,0,0,0,1,1,0
3/29/16,0,0,0,0,0,0,1,1,2,0
3/31/16,0,0,0,0,0,1,0,0,1,0
4/6/16,1,0,0,0,0,2,1,0,4,0
4/10/16,0,0,0,0,0,0,0,1,1,0
4/11/16,0,0,0,0,0,1,0,1,2,0
4/21/16,0,0,0,0,0,1,0,0,1,0
4/22/16,0,0,0,0,0,1,0,0,1,0
4/23/16,0,0,0,0,0,1,0,0,1,0
5/4/16,0,0,0,0,0,2,0,0,2,0
5/5/16,0,0,0,0,0,8,0,1,9,0
5/6/16,0,0,0,0,0,1,0,0,1,0
5/7/16,0,0,0,0,0,2,0,2,4,0
5/10/16,0,0,0,0,0,1,2,0,3,0
5/11/16,0,0,0,0,0,1,0,0,1,0
5/13/16,0,0,0,0,0,0,0,1,1,0
5/14/16,0,0,0,0,0,0,0,1,1,0
5/19/16,0,0,0,0,0,0,0,1,1,0
5/20/16,0,0,0,0,0,1,0,0,1,0
5/22/16,0,0,0,0,0,0,1,0,1,0
5/25/16,0,0,0,0,0,1,0,0,1,0
5/26/16,0,0,0,0,0,2,0,0,2,0
5/28/16,0,0,0,0,0,1,0,0,1,0
5/31/16,0,0,0,0,0,0,0,3,3,0
6/6/16,0,0,0,0,0,1,0,0,1,0
6/16/16,0,0,0,0,0,21,0,5,26,0
6/17/16,4,2,3,0,0,9,1,3,22,0
6/18/16,1,0,0,1,0,4,1,1,8,0
6/19/16,0,0,0,0,0,0,3,1,4,0
6/20/16,0,0,0,0,1,0,0,0,1,0
6/21/16,0,0,1,0,0,0,0,1,2,0
6/22/16,1,0,0,0,0,1,1,0,3,0
6/23/16,0,0,0,0,0,1,0,0,1,0
6/24/16,0,0,0,0,0,0,0,1,1,0
6/25/16,0,0,0,0,0,0,1,0,1,0
6/28/16,0,0,0,0,0,1,0,0,1,0
6/30/16,0,0,0,0,0,1,0,0,1,0
7/1/16,0,0,0,0,0,2,0,0,2,0
7/2/16,0,0,0,0,0,0,1,0,1,0
7/4/16,0,0,0,0,0,0,1,0,1,0
7/5/16,0,0,0,0,0,1,0,0,1,0
7/6/16,0,1,0,0,0,0,0,0,1,0
7/8/16,1,0,0,0,0,0,0,0,1,0
7/10/16,0,2,0,2,0,0,2,1,7,0
7/11/16,0,0,0,0,0,0,1,0,1,0
7/31/16,0,1,0,0,0,0,0,0,1,0
8/12/16,0,0,0,0,0,2,0,0,2,0
8/16/16,0,0,0,0,0,1,0,0,1,0
8/17/16,0,0,0,0,0,2,0,0,2,0
8/18/16,0,0,0,0,0,1,0,0,1,0
9/16/16,0,0,0,0,0,1,0,0,1,0
10/11/16,0,0,0,0,0,0,0,1,1,0
10/25/16,0,0,0,0,0,0,1,0,1,0
10/28/16,0,0,0,0,0,1,0,0,1,0
10/30/16,0,0,0,1,0,0,0,0,1,0
11/3/16,0,0,0,0,0,2,1,0,3,0
11/4/16,0,1,0,0,0,1,0,1,3,0
11/5/16,0,0,0,0,0,0,1,0,1,0
11/10/16,0,0,0,0,0,1,0,0,1,0
11/13/16,0,0,0,0,0,1,0,0,1,0
11/14/16,0,0,0,1,0,5,0,0,6,0
11/15/16,2,2,0,0,1,0,1,0,6,0
11/16/16,0,0,0,1,0,1,0,2,4,0
11/17/16,1,2,0,0,0,0,0,0,3,0
11/18/16,0,1,0,1,0,1,0,0,3,0
11/21/16,0,0,0,1,0,2,0,1,4,0
11/22/16,1,0,0,1,0,0,1,0,3,0
11/23/16,0,0,0,1,0,6,0,0,7,0
11/24/16,0,0,0,0,0,0,1,1,2,0
11/25/16,0,0,0,0,0,3,0,0,3,0
11/26/16,0,0,0,0,0,0,4,0,4,0
12/3/16,0,0,0,0,0,0,1,0,1,0
12/6/16,0,0,0,1,0,0,0,0,1,0
12/8/16,0,0,0,0,0,1,0,0,1,0
12/12/16,1,0,0,0,0,2,0,0,3,0
12/14/16,0,0,0,0,0,2,0,0,2,0
12/15/16,0,0,0,0,0,4,1,2,7,0
12/16/16,0,1,0,0,0,0,2,1,4,0
12/19/16,0,0,1,0,0,1,0,0,2,0
12/21/16,0,0,0,0,0,2,0,1,3,0
12/25/16,0,0,0,0,0,0,0,1,1,0
12/29/16,0,0,0,0,0,1,0,0,1,0
12/31/16,0,0,0,0,0,1,0,0,1,0
1/17/17,0,0,0,0,0,0,0,1,1,0
1/18/17,0,0,0,0,0,1,0,0,1,0
1/19/17,0,0,0,0,0,1,0,0,1,0
1/23/17,0,0,0,0,0,1,0,0,1,0
1/24/17,0,0,0,0,0,1,0,0,1,0
2/6/17,0,0,0,0,0,0,1,0,1,0
2/7/17,0,0,0,0,0,0,0,1,1,0
2/9/17,0,0,0,0,0,0,1,0,1,0
2/18/17,0,1,0,0,0,0,0,0,1,0
2/25/17,0,0,0,0,0,0,0,1,1,0
3/17/17,0,0,0,0,0,0,0,1,1,0
3/20/17,0,0,0,0,0,1,0,0,1,0
3/21/17,0,0,0,0,0,0,0,2,2,0
3/23/17,0,0,0,0,0,1,0,0,1,0
4/1/17,0,0,0,0,0,3,0,1,4,0
4/2/17,0,1,0,0,0,2,0,0,3,0
4/8/17,0,0,0,0,0,1,0,0,1,0
4/9/17,0,0,0,0,0,1,0,0,1,0
4/11/17,0,0,0,0,0,1,0,0,1,0
4/12/17,0,1,0,0,0,1,0,0,2,0
4/13/17,0,0,1,0,0,0,0,0,1,0
4/14/17,0,0,0,0,0,1,0,0,1,0
4/16/17,0,0,0,0,0,0,1,0,1,0
5/2/17,0,0,0,0,0,0,0,1,1,0
5/5/17,0,0,0,0,0,1,0,0,1,0
5/10/17,0,0,0,0,0,1,0,0,1,0
5/12/17,0,0,0,0,0,1,0,0,1,0
5/16/17,0,0,0,0,0,1,0,0,1,0
5/24/17,0,0,0,0,0,1,0,0,1,0
5/28/17,0,1,0,0,0,0,1,0,2,0
6/4/17,0,1,0,0,0,0,0,0,1,0
6/5/17,0,0,0,0,0,0,0,1,1,0
6/13/17,0,0,0,0,0,1,0,0,1,0
6/15/17,0,0,0,0,0,2,0,0,2,0
6/19/17,0,0,0,1,0,0,0,0,1,0
6/20/17,0,0,0,0,0,2,0,2,4,0
6/21/17,1,0,0,0,0,0,0,1,2,0
6/22/17,0,0,0,0,0,1,0,0,1,0
6/24/17,0,0,0,0,0,0,0,1,1,0
6/25/17,1,1,0,0,0,1,0,0,3,0
6/27/17,0,0,0,0,0,0,0,1,1,0
7/3/17,0,0,0,0,0,1,0,0,1,0
7/6/17,0,0,0,0,0,0,0,1,1,0
7/8/17,0,0,0,1,0,0,0,0,1,0
