Date,Location,Type
2/20/14,"Old Bailey, London",Protest
4/10/14,Rotherham,Protest
11/6/14,Hexthorpe,Protest
1/5/15,Chelmsford,Protest
2/9/15,London,Protest
3/7/15,Derby,Protest
3/22/15,London,Protest
5/9/15,Dudley,Protest
6/27/15,Luton,Protest
9/5/15,Rotherham,Protest
10/17/15,Burton-upon-Trent,Protest
1/30/16,Dewsbury,Protest
10/22/16,London,Rally
11/2/16,Luton,Protest
2/25/17,Telford,Protest
4/1/17,London,Protest
6/24/17,Birmingham,Protest
7/22/17,Rochdale,Protest
