week,T_intl_solidarity,T_motivational,T_regions,T_protests,T_terrorism_middle_east,T_criticism_politicians,T_military,T_crime,T_online_promotion,T_trump,T_bible,T_criticism_Facebook,T_elections,T_immigration,T_brexit,T_misc_news,T_email_promotion,T_terrorism_europe,T_islam_sex,T_refugees,T_self_promotion,T_islam_videos,T_leadership,T_media_and_aid,T_merchandise,T_UKIP_misc,T_islam_general,T_terrorism_general,T_islam_sharia,T_misc_values,M_motivational,M_promotional,M_repression,M_islam,M_terrorism,M_politics,M_immigration,issue_total,instrumental_total,main_total
2017-01-03,25,13,20,14,20,19,20,16,10,24,12,16,18,25,7,25,10,22,24,21,25,37,13,19,19,23,16,21,28,38,25,28,24,35,29,26,26,36,45,10
2017-01-10,26,21,26,18,37,34,31,28,16,37,25,27,18,32,17,25,19,30,38,33,49,46,27,27,21,32,30,24,28,53,27,36,43,51,42,46,41,63,56,32
2017-01-17,23,26,25,13,30,34,25,29,12,33,12,21,16,36,19,22,12,34,26,31,32,44,19,25,16,32,18,22,31,36,39,21,23,37,39,37,33,44,35,25
2017-01-24,23,37,21,16,30,28,29,28,23,31,16,27,32,24,15,22,28,32,32,32,44,47,33,20,20,31,26,36,28,46,49,22,36,44,45,38,34,50,49,14
2017-01-31,23,20,26,16,32,36,38,26,26,28,19,30,37,26,16,19,29,40,33,35,73,53,29,24,29,35,28,30,35,55,78,41,30,47,55,34,36,61,77,42
2017-02-07,22,32,29,14,31,24,34,26,10,31,13,15,20,22,16,19,13,37,33,29,35,43,22,17,19,44,20,34,35,38,30,25,25,48,49,35,31,46,44,30
2017-02-14,22,21,19,18,24,24,24,28,7,23,24,29,16,19,9,22,8,33,30,25,33,49,22,23,24,33,18,27,32,42,35,27,24,47,33,33,27,52,44,30
2017-02-21,16,25,23,24,31,33,28,30,7,30,17,16,13,30,16,24,8,33,30,37,32,57,22,24,24,21,28,26,46,40,37,25,28,49,42,37,42,54,53,27
2017-02-28,24,32,22,44,29,37,29,37,27,30,23,12,18,34,18,41,28,29,38,23,43,53,17,32,18,35,19,33,38,40,41,37,24,60,46,38,26,55,78,25
2017-03-07,38,26,28,15,31,24,37,36,10,27,24,22,14,29,19,23,10,34,36,39,49,57,25,35,25,47,22,29,51,63,56,29,33,55,50,39,42,65,49,36
2017-03-14,40,49,46,17,38,49,36,37,21,33,16,26,54,38,23,33,7,43,57,51,46,66,30,31,28,39,31,32,55,59,49,30,38,71,63,39,51,47,39,31
2017-03-21,31,46,54,28,45,24,54,50,15,36,35,43,39,49,49,43,32,69,64,56,50,85,41,36,45,63,43,45,62,77,65,41,53,81,78,44,62,59,67,61
2017-03-28,34,43,52,41,53,35,47,52,29,31,32,57,45,55,23,43,40,69,63,47,65,79,37,38,33,61,50,41,75,82,84,53,35,87,79,49,53,71,86,38
2017-04-04,39,41,45,29,50,27,38,34,15,33,39,19,27,30,32,27,29,42,47,39,44,63,27,20,23,40,28,20,48,53,51,31,28,69,57,39,41,51,56,43
2017-04-11,20,29,23,27,26,28,36,31,12,19,21,11,22,30,16,15,20,31,33,28,30,49,20,30,12,38,21,27,43,36,37,17,17,59,39,35,33,43,32,21
2017-04-18,22,43,33,35,37,28,24,31,13,21,23,23,28,38,15,34,17,45,43,39,39,56,26,38,15,50,16,26,40,59,45,25,25,60,53,37,42,56,48,13
2017-04-25,34,47,24,25,34,29,25,25,28,31,28,22,31,32,15,31,18,42,39,26,38,53,29,24,15,28,22,28,42,55,57,31,22,52,40,42,32,56,49,44
2017-05-02,15,14,18,20,29,24,26,18,11,19,24,12,10,26,12,16,14,28,25,20,31,37,24,21,16,23,19,27,34,32,33,23,16,41,40,22,28,39,43,18
2017-05-09,26,38,26,35,36,40,42,34,23,36,41,24,27,48,17,22,30,44,52,40,49,59,32,36,32,40,40,31,56,52,48,47,40,68,65,63,43,69,63,47
2017-05-16,22,25,33,29,31,14,26,34,16,28,20,13,34,34,22,49,19,35,41,34,41,51,32,30,22,33,19,28,47,37,39,32,22,54,47,49,37,54,50,22
2017-05-23,15,22,13,14,16,5,13,20,8,14,11,7,7,12,9,9,16,23,15,16,14,20,19,15,17,21,18,21,19,24,17,12,11,25,27,21,20,22,19,4
2017-06-06,5,14,16,9,14,6,7,14,16,16,9,11,14,17,10,9,12,17,8,12,11,16,10,16,18,20,18,11,19,15,13,19,12,22,21,18,17,17,22,18
2017-06-13,13,22,20,16,29,18,23,24,28,22,13,33,33,24,17,20,31,36,21,20,23,25,47,22,25,18,33,22,27,30,25,39,43,31,39,30,25,46,54,3
2017-06-20,13,29,21,24,26,23,24,35,11,26,16,18,18,38,12,24,13,35,36,27,30,47,28,24,20,25,20,28,29,32,25,26,29,38,45,34,30,47,40,32
2017-06-27,17,22,20,15,16,13,16,12,7,11,16,12,6,17,8,14,4,20,16,19,24,18,12,18,17,19,21,16,19,19,18,16,12,24,22,13,22,23,21,20
2017-07-04,18,17,20,18,24,24,21,18,10,22,15,12,14,24,11,16,15,29,30,24,41,25,12,18,30,32,22,29,31,19,39,34,17,37,38,24,23,42,45,20
2017-07-11,5,12,10,13,10,11,11,9,7,8,8,9,13,13,7,2,4,15,17,14,14,21,11,15,19,21,6,9,16,16,16,21,14,19,17,12,12,19,21,10
2017-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-25,2,1,1,2,3,3,3,2,1,4,1,2,4,3,1,2,1,2,1,2,4,2,1,3,3,3,3,2,2,3,3,1,2,1,2,4,2,3,1,2
2017-08-01,2,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,3,3,2,1,2,4,1,3,2,3,3,1,4,4,2,2,2,4,1,3,1,1,2,3
2017-08-08,4,3,3,4,2,3,2,1,4,2,2,6,4,2,2,5,5,4,4,5,2,3,1,2,2,3,3,1,4,3,2,5,3,5,3,2,4,3,4,2
2017-08-15,3,3,4,4,4,5,2,5,5,3,6,8,2,4,3,1,6,5,4,4,3,4,2,1,4,5,6,6,6,3,3,5,6,6,5,4,4,5,4,0
2017-08-22,1,1,2,1,2,3,2,2,2,1,2,2,1,2,1,3,1,1,3,3,4,2,2,4,3,2,2,1,3,3,2,3,2,3,2,2,2,3,2,4
2017-08-29,2,3,3,2,4,4,5,3,5,3,3,4,2,4,2,4,5,5,3,2,3,3,3,6,3,1,4,1,5,6,4,3,4,5,4,3,3,3,5,5
2017-09-05,5,4,5,4,4,6,2,4,7,4,3,5,1,3,6,3,4,5,5,5,6,5,4,4,4,4,1,5,4,2,7,5,5,3,4,4,5,5,4,3
2017-09-12,5,3,2,2,2,1,3,3,4,3,2,3,2,1,2,3,4,4,3,4,2,3,1,2,4,5,4,3,2,2,2,3,3,2,4,4,4,3,4,1
2017-09-19,4,4,1,2,3,2,3,2,2,1,2,3,3,4,2,3,2,4,4,2,2,1,1,4,3,4,3,5,3,1,2,2,3,3,3,3,2,2,4,0
2017-09-26,2,2,3,4,2,3,1,3,4,3,3,5,1,1,2,2,2,2,3,3,3,3,1,3,1,1,1,1,4,3,3,2,5,2,3,1,2,2,2,4
2017-10-03,2,4,2,4,2,3,3,4,6,3,5,5,2,2,1,4,3,4,3,4,2,4,1,3,3,4,2,4,4,2,2,4,4,4,4,4,4,5,5,5
2017-10-10,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0
2017-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-21,4,8,9,4,6,8,7,5,4,6,6,12,7,10,4,9,7,6,7,11,11,7,12,3,8,6,3,10,8,10,10,8,9,4,6,9,9,7,9,3
2017-11-28,7,4,6,3,8,8,6,7,12,12,6,4,5,8,4,7,15,4,7,3,11,9,13,4,3,4,3,3,6,9,12,3,9,12,6,11,5,11,6,4
2017-12-05,5,8,10,11,5,2,3,6,10,7,5,7,1,10,3,11,11,5,7,3,7,7,13,2,6,8,5,9,9,13,8,15,7,11,5,8,6,10,7,0
2017-12-12,11,4,13,10,13,15,10,9,18,12,10,6,18,14,6,10,19,3,9,6,9,13,15,3,7,10,8,13,15,10,9,21,14,15,7,12,5,11,15,0
2017-12-19,10,4,11,13,21,13,17,3,14,12,6,13,4,14,5,25,6,5,10,2,13,5,20,4,9,14,9,10,9,10,13,22,18,14,12,13,12,13,19,1
2017-12-26,6,7,5,5,2,5,2,6,8,4,3,5,9,5,1,2,8,1,4,4,5,2,6,1,5,1,5,5,4,4,5,8,5,6,2,5,8,5,3,0
2018-01-02,7,7,4,5,6,3,5,6,8,5,4,7,6,7,1,3,5,5,4,3,7,6,13,2,7,8,6,8,5,8,7,8,11,8,5,7,3,6,8,0
2018-01-09,9,11,9,9,7,5,4,5,7,5,6,11,4,12,3,5,2,5,11,9,12,10,12,3,7,7,5,9,4,11,9,7,10,6,6,8,9,9,10,11
2018-01-16,3,6,8,6,3,5,5,2,4,2,2,5,6,4,2,2,5,4,6,6,5,4,6,4,5,4,5,5,4,4,4,5,5,3,4,3,7,6,7,0
2018-01-23,4,6,5,9,3,2,4,6,6,7,4,4,2,7,4,7,2,4,4,6,9,9,8,9,5,5,8,7,7,7,11,7,9,9,7,8,6,11,10,10
2018-01-30,10,4,5,6,4,8,6,8,6,7,7,6,3,8,2,4,2,5,8,8,6,10,7,6,6,9,6,11,10,7,5,8,9,13,7,8,7,15,13,11
2018-02-06,10,4,11,11,6,4,7,8,11,6,6,8,9,9,9,5,10,7,7,8,9,5,11,9,3,15,6,9,10,10,10,4,9,12,11,8,8,14,18,8
2018-02-13,8,5,7,6,5,5,8,6,3,3,7,7,7,5,3,7,2,10,8,9,10,6,6,4,8,10,6,6,6,9,10,10,10,10,11,9,9,10,11,8
2018-02-20,7,8,3,6,8,8,4,4,2,9,3,6,4,9,10,4,2,5,5,8,6,7,6,4,6,5,3,7,9,9,6,7,7,8,9,10,8,9,9,3
2018-02-27,2,6,6,4,6,3,4,7,9,5,6,9,4,7,2,6,3,3,6,6,8,8,5,2,9,7,3,5,5,10,9,4,4,6,6,7,6,11,8,4
2018-03-06,7,5,3,4,2,8,3,2,16,2,4,15,2,4,5,5,1,5,2,2,3,2,5,3,2,6,1,5,3,8,4,3,7,2,5,5,2,5,2,1
