date,posts,likes,shares,comments,haha,wow,sad,angry,love,photo,video,like_mention,share_mention,comment_mention,any_mention,supporters,recruits,T_intl_solidarity,T_motivational,T_regions,T_protests,T_terrorism_middle_east,T_criticism_politicians,T_military,T_crime,T_online_promotion,T_trump,T_bible,T_criticism_Facebook,T_elections,T_immigration,T_brexit,T_misc_news,T_email_promotion,T_terrorism_europe,T_islam_sex,T_refugees,T_self_promotion,T_islam_videos,T_leadership,T_media_and_aid,T_merchandise,T_UKIP_misc,T_islam_general,T_terrorism_general,T_islam_sharia,T_misc_values,M_motivational,M_promotional,M_repression,M_islam,M_terrorism,M_politics,M_immigration,issue_total,instrumental_total,main_total,media,elections,attacks,protests,actions,post_brexit,elections.lead,elections.lag,protests.lead,protests.lag,attacks.lag,actions.lag,cox_murder,cox_murder.lag
2015-12-29,300,283903,124984,37950,54,11,9,121,54,89,10,8,7,0,8,70313,8613,1.8608270223431658,3.795115009227426,2.418952443460479,3.0629913940024607,4.168367468985023,4.424100403776974,3.8142603362275542,2.4021890544195768,2.2982583356280792,3.086373185633949,7.370064040381679,1.6573535321646904,3.701967462809545,3.4803114543988616,1.3255150852873017,3.191910958499077,0.8796676340379617,3.7560267442694593,3.4386587961936095,2.796368991012804,6.2507886285467285,3.4748427061474816,2.8704833174578566,3.842056753740203,6.988826051052365,2.4959310822752103,3.720742132479581,2.7662343951108497,2.8239215826094375,1.8368939978206045,11.90673066011732,10.166752020718407,4.527836849622547,13.45816521743011,10.690628608365332,9.284271730718704,6.276680445411666,45.92619539257294,29.664310924460736,75.59050631703369,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-05,322,303695,139915,48157,73,24,23,266,63,89,8,4,0,0,4,75512,9850,1.8966210557893894,3.765669554969008,2.311143356378689,3.2524314677638846,3.6875725927629284,4.523434166897821,3.5582838869650217,2.5065073521045194,1.6828590578901852,3.0861449759884483,7.690639860774286,1.6615403082663558,3.4421354615282134,3.4342155952230504,1.2280148190341975,3.121963664510666,3.0645240517805363,3.863791060314339,3.801546950370928,2.879852061525171,5.696306641683207,3.615095282601457,2.7761200258672196,3.2912931170280944,5.932130332626697,2.4904466479806393,4.1250413491997655,2.7944264042029157,3.0093073400851202,1.8109415578872523,11.358597252441605,10.679513442297417,4.437660334133575,14.55099092225727,10.345790057280183,9.0187270854973,6.314067656748221,46.294366960852514,29.72820249663648,76.022569457489,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-12,316,326378,138420,46510,79,17,42,300,94,67,4,13,7,0,13,76017,9928,1.931907438619434,3.6618444550126292,2.1241804675300173,2.898077346865046,3.7144837321500592,4.231763600657882,3.3941056359296304,2.4758772189885483,1.9885614685525774,3.1632822423981994,7.913670789229651,1.6968318980648223,3.6756561545908033,3.4917613742868725,1.3321830285618241,3.1141854918500322,3.1866559488883963,4.174163284489783,3.5660040533736344,3.4209227134315845,5.5294769683823475,3.66817429105412,2.917483236150099,3.2361490335128877,6.13299484980166,2.4622575415175234,3.553676343582141,2.546440172380995,2.9869986889627254,1.8102305311840736,11.12322886201441,11.308212267242634,4.614315134214921,13.77485337697262,10.435087189020837,9.301195938506526,6.912684087718457,46.29380344713662,29.943833610337013,76.23763705747363,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-19,300,256020,96839,48675,80,33,17,256,74,44,1,9,0,0,9,60457,9605,1.780336583878829,3.879408151029485,1.9862691854402588,3.276371297391594,3.6761950100299847,3.734738944723024,3.446364849678845,2.3382163566046392,1.6697000060698903,3.066331523919437,9.313539229151734,1.7729627371739096,3.7878544346498177,3.179812362925072,1.2016255571334924,2.938979993609943,1.0919674189443853,3.365541759033134,3.809823733306667,2.780730490340538,6.145672818599036,3.4362003767535723,3.242288687715095,3.4024313065683716,7.820092330149938,2.568663345206604,3.6767005533781467,2.7400830055646157,3.0531605968952698,1.817937354134665,11.80541755350735,10.581759755164216,5.015251424889004,13.975885260333657,9.781819774627735,9.422849303775859,5.96054285326561,44.925678398286344,30.678800030952164,75.60447842923851,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2016-01-26,332,307591,66495,44484,59,15,25,333,119,52,2,3,2,0,3,60257,14207,1.9833122074218248,3.6979984762730727,2.4168997008272752,5.098106961171898,2.8292143573742057,4.195699053231683,2.9439674802743547,2.2775863682117157,1.2390175427075192,4.413930877530009,6.953303201694064,1.6791123061758388,3.6486752990944984,3.0833210536184095,1.6152261404993138,2.894194401792512,0.36571314300078506,2.6021393711014795,3.5121120925233105,2.8991073531159377,7.1970876024545865,4.237319982679657,3.3397976978275032,3.2668422966825137,6.810091861458795,2.444556263433252,3.5250256418561157,2.7507499704950042,4.387483022837187,1.6924082726356746,12.878398286149483,8.4148225471671,5.0189100040033425,15.661940739896272,8.18210369897069,10.507162440057758,5.982428406734347,45.55518913414514,31.410237798491824,76.96542693263696,2,0,0,1,0,0,0,0,0,0,0,1,0,0
2016-02-02,309,273697,99565,45396,67,42,40,395,74,19,15,28,26,0,28,73471,12933,1.6479930423152565,3.6520808693739597,2.1771342912616602,4.61632673353752,3.3074024657048176,3.249265510283952,3.0564684892562175,2.378322039312579,3.4483591935911044,2.7598718810376885,6.480889466134521,1.9705437065521605,3.304281432911689,2.939238791485746,1.3716196492407158,2.587901420929576,1.910909297956329,3.2122074502586453,2.9829842687102515,2.6658089773062903,8.851781482115346,3.933770286954981,3.09303234775447,2.9471473267529005,7.769196814476502,2.3007744739662535,3.224193577679376,2.2326617898383296,4.3256499635042145,1.6021829597969477,14.151855393804563,13.128465306023934,5.063576054306631,14.466598096848823,8.75227170580179,8.364927787915631,5.605047768792036,42.62363588792708,36.96022348767265,79.58385937559973,2,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-02-09,341,268015,91762,43815,82,22,16,249,91,33,3,4,2,0,4,62423,9484,1.736343581150893,4.182174484743429,2.359186981187924,3.8694063085051953,3.093320578743742,3.8048861896322816,3.2927164972966367,2.263628302335144,1.6077848150316942,2.8322607881100677,7.52393454498721,1.7359430596566554,3.3330985276197107,3.0275483692696987,1.3742992432222234,2.824533522923782,2.6006038767975026,2.612312897733393,3.6243220656355013,2.7681353213998197,7.685360781772845,3.9127561817937946,3.4379518166612355,3.312997853010731,8.036800307184617,2.2783593750852464,3.401358826343479,2.2658505382195675,3.4693775316664994,1.7327468322794817,13.603878847667167,12.245188999013813,5.173894876317891,14.407814605439276,7.971484014696703,8.443718690815025,5.795683690669519,42.1750458012523,34.89236903150406,77.06741483275637,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-16,344,225123,68056,43160,110,33,27,285,69,19,5,4,1,0,4,51616,5768,1.7225712254411274,3.4757638631393792,2.5377587351001036,3.9642839421655904,2.9450848019156917,3.6566067863418144,3.0591472851690558,3.019859658598171,1.9352864706968498,2.9448317080851156,7.391224289661273,1.7129579424864139,3.3253440057607833,2.8824440247761296,1.7130795694262462,2.6091508085801522,2.0009145143688247,2.849844382679277,3.2916685204031633,2.588452948622378,8.01715334611001,4.128357124273712,4.741417561176898,3.053788881451954,7.7396030609345345,2.2206277248036463,3.1352515841191004,2.286741814192554,3.4399009324656635,1.6108824870543832,13.215488434690517,11.67580404600021,6.454375503663313,13.995178161261638,8.081670998787523,8.490803438649545,5.470896973398507,42.11755651586444,35.30995192651963,77.42750844238408,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-23,349,219378,75674,42066,2882,1060,1543,13208,3222,35,3,5,3,0,8,57650,5969,1.746141694078733,3.3778615970691277,2.7178484891663683,5.168097555099033,3.4073324415087773,3.792137056691234,2.9973490209133824,3.2564628567540645,1.5741352477978525,3.1886321126067174,7.178938382742199,1.6987487088201743,3.338676325304791,2.9310484349331576,1.7559574906880888,2.700093399903698,0.8181482911786075,2.8943833350704455,3.792552345949026,3.082982722897391,7.160541747279417,4.089929174634207,5.075915334688146,3.4046415533998626,6.213350924120508,2.191389476879461,3.1011954993835946,2.2514843547645156,3.495030455761438,1.5989939699159825,12.284545038427277,8.60563446309697,6.774664043508319,14.478707475728267,8.553200131343738,8.718697914790969,6.014031157830548,44.01844855736097,32.8329411001316,76.85138965749256,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,274,142977,68016,47578,2954,1191,1433,15554,2964,12,2,9,4,0,9,47058,6946,2.0088737743628333,2.3269419880972637,2.41416682418208,3.7919528648550944,5.890564139924106,3.8090251873002967,3.3273717546413986,3.7553958640584426,0.942838514591225,3.335245424919902,5.09312737751718,1.4861670134522142,2.7865812034995066,3.315000446370961,1.7052173850047128,3.117009397511675,0.3214560773216624,5.4513220431598395,5.742799344471391,5.953115088028436,4.334610948203455,5.330030572992441,3.1781795721698947,3.412071694811753,3.474194833287817,1.9507286162340778,2.8966198104772314,2.8789115760282464,4.394989594324462,1.5754910682003975,8.670426710663552,4.738489425200705,4.664346585622109,18.364439322265525,14.220797759112195,8.072555244653486,9.268115534399396,57.008675479130446,21.86521558634146,78.8738910654719,3,0,0,0,1,0,0,0,0,0,0,0,0,0
